Equipo1,Equipo2,Es_Local_E1,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Eficiencia_Tiros_E1,Eficiencia_Tiros_E2,Diferencia_Goles,Resultado_E1,Equipo1_PromedioGoles,Equipo2_PromedioGoles
Villareal,Juventus,1,2,2,2,0,2,0,17,6,5,6,0,0,0,0,2,13,4,5,4,1,1,0,0,2,2,0,0,0,40,0,4,1,15,9,12,7,1,0,0,0,47,1,3,1,21,8,4,7,47,80,312,389,67,207,38,71,86,75,19,24,17,16,46,6,13,195,53,87,416,477,100,270,46,87,112,98,8,41,29,11,27,4,15,185,39,4,0,24,9,15,17,24,40,6,0,16,5,11,14,16,2,0,0,2,0,0,0,2,0,2,1,2,0,0,4,0,0,0,3,1,2,0,1,0,7,2,4.649122807017544,3,0,19,4,5,6.723333333333334,6.77,0.3333333333333333,0.5,0,Draw,1.0,1.0
Napoli,Sporting CP,1,2,1,2,0,1,0,12,3,5,4,0,0,0,0,4,8,4,1,3,0,0,0,2,0,2,0,0,0,34,0,7,1,15,8,6,5,0,1,0,1,40,1,2,0,25,14,18,1,52,92,475,515,122,310,43,97,131,113,8,35,25,9,21,3,14,151,48,90,447,498,114,295,38,80,121,147,16,28,12,8,30,3,10,149,37,3,1,17,8,9,16,18,32,4,0,14,8,6,16,17,1,0,0,3,0,0,0,3,1,2,0,2,0,0,1,0,0,0,3,1,2,0,0,0,16,2,4.0,0,0,9,1,3,6.723333333333334,6.77,0.6666666666666666,0.25,1,Win,1.0,1.0
Monaco,Man City,1,2,2,1,1,2,0,9,4,3,2,0,0,0,1,1,18,6,8,4,2,2,0,2,3,1,1,0,1,33,0,7,0,23,9,8,4,2,0,0,0,72,0,3,3,19,34,28,13,33,83,250,302,55,163,32,56,52,68,14,23,12,11,21,3,14,150,67,94,733,783,230,484,19,126,205,226,9,76,69,15,18,2,11,148,30,4,0,20,9,11,14,21,29,2,1,13,5,8,10,13,2,0,0,4,0,0,0,1,1,0,0,2,0,0,2,0,0,0,1,1,0,1,1,1,9,2,3.0,5,1,13,2,5,6.723333333333334,6.77,0.5,0.3333333333333333,0,Draw,1.0,2.0
BDortmund,Athletic Club,1,4,1,4,0,1,0,13,8,3,2,0,0,0,2,2,7,3,3,1,0,0,0,2,0,4,0,0,0,33,0,4,3,15,10,9,6,0,0,0,0,13,0,0,3,15,17,7,2,52,88,476,539,137,296,43,105,128,116,17,30,15,13,21,3,14,191,48,86,416,484,125,258,33,88,121,98,17,31,19,10,25,4,16,189,49,1,0,15,6,9,11,17,45,2,0,28,8,20,14,22,1,0,0,2,0,0,0,4,1,3,0,4,0,0,4,0,0,0,1,1,0,0,1,0,14,2,6.0,2,0,15,2,5,6.723333333333334,6.77,0.5,0.3333333333333333,3,Win,4.0,1.0
Barcelona,Paris,1,1,2,1,0,2,0,12,1,5,6,0,0,0,0,3,15,7,4,4,1,0,1,2,1,1,0,0,0,32,2,4,0,28,10,10,8,2,0,0,0,52,0,9,2,25,15,16,11,46,88,360,410,69,262,29,80,93,91,16,25,18,9,17,1,6,170,54,87,417,477,67,314,36,102,106,98,11,38,30,15,19,3,16,170,31,4,0,15,6,9,15,17,39,6,0,18,4,14,4,6,2,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,12,3,5.0,2,0,14,3,6,6.723333333333334,6.77,1.0,0.2857142857142857,-1,Loss,3.5,4.5
Barcelona,Olympiacos,1,6,1,5,1,1,0,15,7,6,2,0,0,0,1,1,4,2,1,1,0,0,0,1,0,4,1,0,1,46,0,7,2,31,13,8,12,0,1,0,0,30,0,2,1,7,5,5,1,69,91,604,667,156,405,43,141,149,146,10,45,32,15,29,4,14,187,31,71,178,249,41,114,23,44,38,44,8,22,14,4,18,3,17,183,34,1,0,15,7,8,14,19,37,2,1,26,12,14,19,22,1,0,0,1,0,0,0,2,2,0,0,6,0,0,1,0,0,0,2,2,0,0,1,0,7,2,5.0,4,1,10,2,5,6.723333333333334,6.77,0.8571428571428571,0.5,5,Win,3.5,0.5
Kairat Almaty,Pafos,1,0,0,0,0,0,0,22,2,13,7,1,0,1,1,7,9,5,2,2,0,0,0,0,1,0,0,0,0,72,0,6,1,12,29,29,3,0,0,0,0,18,3,4,3,8,2,3,1,62,88,497,565,81,381,35,81,153,133,12,83,65,14,14,3,22,195,38,72,179,249,31,124,24,36,50,38,12,16,6,6,67,4,6,196,29,2,0,18,11,7,6,6,38,7,0,14,9,5,26,35,0,0,1,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,1,3,0,11,3,6.0,2,1,9,1,6,6.723333333333334,6.77,0.0,0.0,0,Draw,0.0,0.0
Arsenal,Atleti,1,4,0,4,0,0,0,18,8,6,4,0,0,0,1,1,12,1,6,5,1,1,0,0,3,4,0,0,0,51,0,3,2,31,11,10,3,0,0,0,0,36,0,4,0,17,10,14,8,53,91,388,428,54,300,34,59,100,112,10,46,31,19,25,4,16,160,47,86,337,394,79,223,35,76,76,75,16,25,15,10,14,2,14,164,32,5,0,13,5,8,14,17,36,4,0,24,8,16,20,24,0,0,1,1,0,0,0,4,2,2,0,4,0,0,4,0,0,0,1,0,1,0,1,0,14,3,5.0,2,0,10,4,7,6.723333333333334,6.77,0.5,0.0,4,Win,3.0,1.0
Leverkursen,Paris,1,2,7,1,1,5,2,6,3,3,0,1,0,1,1,0,24,8,5,11,1,0,1,2,4,1,1,1,1,18,1,3,3,10,7,6,1,5,0,0,0,62,1,4,0,15,21,21,5,34,86,280,324,76,181,23,64,71,61,4,13,6,5,100,1,1,124,66,94,733,777,192,496,45,141,205,212,11,60,46,24,40,2,5,119,31,11,0,17,8,9,6,9,36,0,2,15,10,5,7,7,7,0,0,1,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,1,8,3,7.0,1,1,6,3,3,6.723333333333334,6.77,0.6666666666666666,0.875,-5,Loss,1.5,4.5
Villareal,Man City,1,0,2,0,0,2,0,11,2,7,2,1,0,1,1,2,11,7,3,1,0,0,0,2,1,0,0,0,0,32,0,1,0,8,6,4,5,2,0,0,0,46,0,3,0,23,10,12,8,37,85,291,343,74,179,38,60,79,74,15,24,16,9,29,5,17,145,63,94,629,672,191,396,42,120,175,183,17,42,35,11,33,4,12,150,25,1,0,19,5,14,12,14,34,2,0,15,7,8,13,16,2,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,0,17,3,6.0,2,0,15,0,2,6.723333333333334,6.77,0.0,0.2857142857142857,-2,Loss,1.0,2.0
