Equipo1,Equipo2,Es_Local_E1,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Eficiencia_Tiros_E1,Eficiencia_Tiros_E2,Diferencia_Goles,Resultado_E1,Equipo1_PromedioGoles,Equipo2_PromedioGoles
PSV,Napoli,1,6,2,2,3,2,0,19,8,7,4,1,0,1,4,4,10,2,6,2,0,0,0,0,3,6,0,0,0,53,1,4,2,9,18,15,3,2,0,0,0,34,0,8,1,14,7,5,4,56,89,467,527,80,354,35,102,129,126,10,43,43,12,25,4,16,163,44,83,300,362,57,213,31,57,88,76,13,35,18,11,27,6,22,161,32,2,0,18,5,13,19,23,22,4,0,10,4,6,13,14,2,0,0,0,0,0,0,0,0,0,2,6,1,0,3,0,0,0,0,0,0,0,4,0,11,1,6.0,1,1,9,0,3,6.723333333333334,6.77,0.75,1.0,4,Win,3.5,1.0
Copengagen,BDortmund,1,2,4,1,0,2,2,11,4,3,4,0,0,0,1,2,9,5,2,2,0,0,0,3,0,1,0,0,0,26,0,4,0,9,8,10,6,2,1,0,1,55,0,7,0,8,23,24,4,39,80,284,354,60,200,24,53,59,79,7,23,19,6,14,1,7,189,61,85,533,624,94,411,28,120,139,156,9,42,30,11,5,1,19,186,51,2,1,19,8,11,26,30,46,4,0,8,4,4,7,9,4,0,0,1,0,0,0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,0,3,0,10,3,3.0,1,0,7,3,3,6.723333333333334,6.77,0.5,0.8,-2,Loss,2.0,4.0
Union SG,Inter,1,0,4,0,0,4,0,15,5,4,6,0,0,0,1,1,20,7,9,4,0,0,0,1,2,0,0,0,0,25,0,3,4,15,7,6,3,3,1,0,0,57,2,4,0,9,15,13,3,33,83,243,293,57,162,24,55,54,55,6,22,12,9,40,4,10,164,67,92,629,680,157,418,54,109,193,155,17,44,29,22,29,8,28,167,39,4,1,18,11,7,22,25,33,6,0,11,3,8,10,13,4,0,0,3,0,0,0,3,1,2,0,0,0,1,5,0,0,0,1,1,0,0,1,0,15,3,6.0,1,0,6,1,4,6.723333333333334,6.77,0.0,0.5714285714285714,-4,Loss,0.0,3.0
Newcastle,Benfica,1,3,0,3,0,0,0,20,10,5,5,0,0,0,3,2,7,2,3,2,1,0,1,1,2,3,0,0,0,51,1,12,2,20,11,6,9,0,0,0,0,33,0,8,1,14,5,3,6,51,88,370,422,98,238,34,66,90,100,8,36,29,16,32,7,22,181,49,83,316,382,118,164,34,64,71,90,18,26,12,2,6,1,17,186,45,2,0,13,5,8,15,17,33,4,0,10,3,7,16,18,0,0,1,2,0,0,0,2,2,0,3,3,0,0,7,0,0,0,1,1,0,1,1,0,16,2,5.0,2,0,7,2,4,6.723333333333334,6.77,0.3,0.0,3,Win,2.0,0.0
Galatasaray,Bodo,1,3,1,3,0,1,0,23,11,8,4,0,0,0,0,3,8,2,4,2,0,0,0,1,1,1,0,0,0,39,1,7,3,13,15,6,5,1,0,0,0,51,0,4,1,18,11,16,6,44,86,316,367,62,211,43,52,81,85,8,25,17,16,55,11,20,183,56,90,531,591,180,321,30,89,149,136,13,37,29,19,12,2,17,186,33,2,0,19,7,12,17,19,38,4,0,10,3,7,15,19,1,0,0,1,0,0,0,1,1,0,0,3,0,0,8,0,0,0,2,2,0,0,1,0,10,2,6.0,1,0,7,0,3,6.723333333333334,6.77,0.2727272727272727,0.5,2,Win,2.0,1.5
Athletic Club,Qarabag,1,3,1,0,3,1,0,21,5,8,8,0,0,0,3,0,9,3,1,5,0,0,0,0,1,3,0,0,0,66,2,8,1,17,17,15,12,0,0,0,0,29,0,3,0,18,10,13,5,58,87,421,483,70,314,37,81,118,94,5,57,37,17,25,6,24,205,42,78,250,321,58,168,24,54,63,61,15,20,16,9,22,2,9,213,52,5,0,22,9,13,10,15,63,8,0,15,7,8,16,29,1,0,0,2,0,0,0,2,1,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,14,0,1.0,0,0,5,0,0,6.723333333333334,6.77,0.6,0.3333333333333333,2,Win,1.5,2.0
Chelsea,Ajax,1,5,1,4,1,1,0,22,9,4,9,0,0,0,2,1,2,1,0,1,0,0,0,0,0,2,2,0,2,78,0,11,3,17,23,31,11,0,1,0,1,11,0,0,1,10,5,3,3,60,93,554,595,121,410,23,86,168,167,5,92,58,14,29,7,24,155,40,77,250,324,54,174,22,64,62,60,17,8,4,1,0,0,2,161,29,1,1,15,8,7,5,5,24,9,2,18,8,10,17,21,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,1,1,0,0,2,0,15,4,7.0,2,1,6,3,4,6.723333333333334,6.77,0.5555555555555556,1.0,4,Win,3.0,0.5
Atlanta,Slavia Praha,1,0,0,0,0,0,0,22,5,8,9,0,0,0,2,4,16,4,8,4,0,0,0,1,3,0,0,0,0,54,1,6,5,22,9,6,14,0,0,0,0,50,0,3,3,8,8,10,4,57,77,323,420,71,202,50,68,86,70,18,38,31,11,31,5,16,237,43,74,248,333,87,124,37,54,44,46,13,40,18,8,12,2,17,232,49,4,0,8,5,3,15,25,49,9,0,21,6,15,22,30,0,0,1,4,1,0,0,3,1,2,0,0,0,1,5,0,0,0,2,1,1,0,3,0,8,1,4.0,2,0,15,2,5,6.723333333333334,6.77,0.0,0.0,0,Draw,1.0,0.0
Frankfurt,Liverpool,1,1,5,1,0,4,1,4,1,2,1,0,0,0,0,1,18,14,3,1,0,0,0,2,1,1,0,0,0,29,0,2,1,4,10,7,1,5,0,0,0,74,1,10,3,14,16,17,5,37,84,328,392,79,223,26,82,66,74,8,28,18,6,0,0,5,146,63,92,655,713,124,484,47,142,190,144,5,93,56,24,26,5,19,149,30,1,0,12,6,6,24,26,30,1,0,7,2,5,13,13,5,0,0,9,1,0,0,5,1,4,1,1,0,0,0,0,0,0,3,0,3,0,2,0,4,2,3.0,0,0,5,1,1,6.723333333333334,6.77,1.0,0.35714285714285715,-4,Loss,3.0,2.5
Sporting CP,Marseille,1,2,1,2,0,0,1,14,7,5,2,0,0,0,1,3,10,3,4,3,0,0,0,2,3,2,0,0,0,45,0,3,2,14,18,12,10,1,0,0,0,24,0,1,0,8,8,9,7,50,85,413,484,119,263,31,57,120,123,17,38,25,8,8,1,12,163,50,86,372,435,121,225,26,63,105,97,13,23,13,5,0,0,7,164,40,3,0,10,3,7,7,8,46,2,0,13,5,8,17,23,1,0,0,2,0,0,0,1,1,0,0,2,0,0,5,0,0,0,4,3,1,0,3,0,11,0,2.0,5,1,17,2,7,6.723333333333334,6.77,0.2857142857142857,0.3333333333333333,1,Win,3.0,1.0
Monaco,Tottenham,1,0,0,0,0,0,0,23,8,8,7,0,0,0,0,1,11,1,6,4,0,0,0,0,3,0,0,0,0,53,3,5,1,9,10,11,3,0,0,0,0,39,0,4,1,16,12,14,7,50,86,396,461,105,255,36,66,111,83,13,50,38,28,28,5,18,192,50,83,290,349,82,182,26,60,72,79,14,24,14,11,30,7,23,194,43,4,0,15,6,9,15,17,40,7,0,20,13,7,21,24,0,0,1,1,0,0,0,1,1,0,1,0,0,1,9,0,0,0,1,1,0,0,0,0,13,1,5.0,1,0,12,1,3,6.723333333333334,6.77,0.0,0.0,0,Draw,1.0,1.0
Real Madrid,Juventus,1,1,0,1,0,0,0,27,9,6,12,1,0,1,3,0,12,6,1,5,0,0,0,5,1,1,0,0,0,82,0,13,1,16,15,21,12,0,0,0,0,32,1,7,2,13,7,8,6,62,91,558,614,161,353,44,98,170,147,21,77,66,19,32,6,19,190,38,84,270,322,94,151,25,55,74,65,10,23,16,5,6,1,18,186,27,5,0,23,9,14,11,16,29,12,0,15,4,11,14,18,0,0,1,6,0,0,0,2,1,0,0,1,0,0,8,0,0,0,1,0,0,0,1,0,10,0,1.0,0,0,18,2,8,6.723333333333334,6.77,0.1111111111111111,0.0,1,Win,1.5,1.0
Bayern Munchen,Club Brugge,1,4,0,3,1,0,0,27,11,7,9,1,0,1,4,2,5,2,2,1,0,0,0,1,0,2,0,0,0,81,3,9,1,20,15,23,21,0,0,0,0,27,0,1,0,16,7,4,1,59,92,680,737,171,461,48,134,176,185,3,74,60,18,6,1,16,157,41,88,367,419,75,252,40,85,82,82,15,33,20,5,43,3,7,160,38,1,0,15,5,10,9,9,27,9,0,15,6,9,23,26,0,0,1,2,0,0,0,0,0,0,0,4,0,0,7,0,0,0,3,2,1,0,1,0,14,2,6.0,0,0,3,0,0,6.723333333333334,6.77,0.36363636363636365,0.0,4,Win,3.5,0.5
Napoli,Frankfurt,1,0,0,0,0,0,0,18,2,8,8,0,0,0,0,3,7,3,2,2,0,0,0,2,0,0,0,0,0,69,0,5,1,22,19,17,4,0,0,0,0,28,0,3,0,7,11,9,5,61,90,611,682,201,363,47,138,122,158,10,73,35,11,24,6,25,189,39,81,318,395,103,186,29,90,58,73,12,35,21,6,22,2,9,190,40,2,0,10,5,5,12,17,47,8,0,22,8,14,23,30,0,0,1,3,0,0,0,1,0,1,1,0,0,1,2,0,0,0,2,1,1,2,3,0,12,0,4.0,2,0,10,1,2,6.723333333333334,6.77,0.0,0.0,0,Draw,1.0,0.5
Slavia Praha,Arsenal,1,0,3,0,0,3,0,10,1,5,4,0,0,0,1,1,13,7,2,4,0,0,0,1,1,0,0,0,0,35,0,4,5,4,5,2,3,2,1,0,0,42,0,7,0,11,5,7,5,40,75,191,253,62,103,26,39,43,45,12,20,11,6,24,4,17,188,60,80,275,342,72,179,24,50,78,69,28,29,24,11,16,3,19,200,36,4,1,22,7,15,17,29,33,4,0,9,1,8,13,21,3,0,0,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,3,0,24,4,11.0,4,0,12,3,6,6.723333333333334,6.77,0.0,0.42857142857142855,-3,Loss,1.0,2.5
Paris,Bayern Munchen,1,1,2,1,0,2,0,25,9,11,5,0,0,0,4,5,9,5,3,1,1,0,1,0,2,1,0,0,0,76,0,9,3,15,26,26,10,1,0,0,0,27,0,1,3,14,6,7,3,64,94,670,716,106,512,52,132,201,203,12,66,65,14,25,9,36,179,36,80,246,309,46,173,27,51,71,60,10,27,21,6,0,0,1,177,38,1,0,13,7,6,5,7,43,5,0,20,13,7,21,29,2,0,0,3,0,0,0,1,1,0,0,1,0,0,8,0,0,0,4,2,2,0,1,0,7,1,2.0,3,1,9,1,1,6.723333333333334,6.77,0.1111111111111111,0.4,-1,Loss,2.5,3.5
Liverpool,Real Madrid,1,1,0,1,0,0,0,17,9,3,5,0,0,0,4,1,8,2,4,2,0,0,0,1,2,1,0,0,0,41,2,4,2,29,12,13,7,0,0,0,0,48,0,2,0,26,17,11,10,41,80,270,339,95,154,21,60,55,66,11,28,23,12,40,4,10,178,59,88,467,533,135,304,28,93,118,121,18,44,41,6,0,0,9,185,43,2,0,18,5,13,9,10,34,5,0,33,13,20,20,27,0,0,1,2,0,0,0,1,0,1,0,1,0,0,8,1,0,0,4,1,3,0,1,0,16,1,3.0,5,0,11,5,8,6.723333333333334,6.77,0.1111111111111111,0.0,1,Win,2.0,2.5
Atleti,Union SG,1,3,1,3,0,1,0,15,6,5,4,0,0,0,1,0,8,3,4,1,0,0,0,0,1,2,0,0,0,46,1,9,1,20,13,7,3,1,0,0,0,27,0,1,1,17,4,4,2,62,91,585,643,122,401,62,94,169,169,13,64,30,18,38,10,26,153,38,82,267,325,78,155,34,47,73,70,11,23,12,7,27,3,11,154,34,1,0,7,2,5,14,16,37,4,0,16,6,10,24,24,1,0,0,2,0,0,0,4,4,0,0,3,0,0,3,0,0,0,3,2,1,1,1,0,10,2,4.0,3,0,13,4,8,6.723333333333334,6.77,0.5,0.3333333333333333,2,Win,4.0,2.0
Juventus,Sporting CP,1,1,1,1,0,1,0,18,9,5,4,0,0,0,4,4,5,2,1,2,0,0,0,0,1,1,0,0,0,58,0,6,0,9,18,16,6,1,0,0,0,28,0,0,1,10,12,10,4,47,88,453,512,87,328,38,83,125,117,15,45,43,15,35,8,23,165,53,88,472,534,97,353,22,85,123,125,15,41,35,4,0,0,2,165,43,2,0,22,7,15,5,6,26,4,0,11,5,6,11,19,1,0,0,1,0,0,0,2,0,2,1,1,0,0,8,0,0,0,3,1,2,0,2,0,15,2,6.0,3,0,14,3,5,6.723333333333334,6.77,0.1111111111111111,0.5,0,Draw,2.5,1.0
