timestamp,escenario,n_partidos,modelo,acc_mean,acc_std,f1_mean,logloss,n_folds,config,features_extra
2026-05-14 08:18:34,baseline_old,131,Random Forest,0.6476190476190475,0.0645936188869073,0.5739322638146167,0.8500676853537907,5,{},False
2026-05-14 08:18:34,baseline_old,131,Gradient Boosting,0.5809523809523809,0.06317380553057905,0.4796428048601962,1.6987920025199685,5,{},False
2026-05-14 08:18:34,baseline_old,131,Logistic Regression,0.6761904761904762,0.03563483225498992,0.6203760962120095,0.7714406597293035,5,{},False
2026-05-14 08:18:34,baseline_old,131,SVM,0.6190476190476191,0.12417528390862188,0.5864580643528011,0.8505001225644783,5,{},False
2026-05-14 08:18:34,baseline_old,131,XGBoost,0.6666666666666666,0.07377111135633174,0.5786113217234499,0.9107954357963445,5,{},False
2026-05-14 08:18:34,baseline_old,131,KNN,0.5619047619047619,0.09712418121129114,0.4590129837955924,3.1161135333192007,5,{},False
2026-05-14 08:18:47,v1_xg_uefa,131,Random Forest,0.6571428571428571,0.0761904761904762,0.5681497266636586,0.8521883498293761,5,{},True
2026-05-14 08:18:47,v1_xg_uefa,131,Gradient Boosting,0.6571428571428573,0.05553287518900288,0.5568806073153899,1.564882751339115,5,{},True
2026-05-14 08:18:47,v1_xg_uefa,131,Logistic Regression,0.6666666666666667,0.030116930096841705,0.6196503061208942,0.7814106658552032,5,{},True
2026-05-14 08:18:47,v1_xg_uefa,131,SVM,0.6095238095238095,0.11024606574085928,0.5835958583327006,0.855958651405356,5,{},True
2026-05-14 08:18:47,v1_xg_uefa,131,XGBoost,0.619047619047619,0.09523809523809523,0.5060695365218181,1.0103559372955866,5,{},True
2026-05-14 08:18:47,v1_xg_uefa,131,KNN,0.5809523809523809,0.06998542122237651,0.4816640332292506,3.106068837559836,5,{},True
2026-05-14 08:19:06,v2_calibrado,131,Random Forest,0.6476190476190476,0.08832017614757816,0.5119577552314125,1.5329420377332255,5,"{""calibrar"": true}",True
2026-05-14 08:19:06,v2_calibrado,131,Gradient Boosting,0.638095238095238,0.09331389496316868,0.48734312386486306,1.2367746375198005,5,"{""calibrar"": true}",True
2026-05-14 08:19:06,v2_calibrado,131,Logistic Regression,0.7047619047619047,0.055532875189002844,0.5652069957333115,1.698301946554572,5,"{""calibrar"": true}",True
2026-05-14 08:19:06,v2_calibrado,131,SVM,0.6380952380952382,0.04856209060564558,0.5447267611515827,1.4891305489642128,5,"{""calibrar"": true}",True
2026-05-14 08:19:06,v2_calibrado,131,XGBoost,0.6761904761904762,0.09233675918888244,0.566770459813938,1.473145044798779,5,"{""calibrar"": true}",True
2026-05-14 08:19:06,v2_calibrado,131,KNN,0.5619047619047619,0.05553287518900288,0.4203586718292601,0.9406297700567882,5,"{""calibrar"": true}",True
2026-05-14 08:19:21,v3_draw_boost_2x,131,Random Forest,0.6095238095238095,0.055532875189002844,0.5252631336796096,0.8863407008303182,5,"{""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:21,v3_draw_boost_2x,131,Gradient Boosting,0.6571428571428573,0.05553287518900288,0.5568806073153899,1.564882751339115,5,"{""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:21,v3_draw_boost_2x,131,Logistic Regression,0.6380952380952382,0.04856209060564558,0.5926995629169542,0.8045016383713536,5,"{""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:21,v3_draw_boost_2x,131,SVM,0.6095238095238096,0.09233675918888246,0.5728805956212067,0.8527219722846127,5,"{""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:21,v3_draw_boost_2x,131,XGBoost,0.619047619047619,0.09523809523809523,0.5060695365218181,1.0103559372955866,5,"{""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:21,v3_draw_boost_2x,131,KNN,0.5809523809523809,0.06998542122237651,0.4816640332292506,3.106068837559836,5,"{""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:34,v4_draw_boost_calib,131,Random Forest,0.619047619047619,0.07377111135633174,0.4826799396326475,1.5470098255686568,5,"{""calibrar"": true, ""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:34,v4_draw_boost_calib,131,Gradient Boosting,0.638095238095238,0.09331389496316868,0.48734312386486306,1.2367746375198005,5,"{""calibrar"": true, ""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:34,v4_draw_boost_calib,131,Logistic Regression,0.7428571428571429,0.057142857142857155,0.6118518518518519,1.7171031456656358,5,"{""calibrar"": true, ""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:34,v4_draw_boost_calib,131,SVM,0.6857142857142857,0.0233284737407922,0.5970574070291393,1.478204187434108,5,"{""calibrar"": true, ""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:34,v4_draw_boost_calib,131,XGBoost,0.6761904761904762,0.09233675918888244,0.566770459813938,1.473145044798779,5,"{""calibrar"": true, ""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:34,v4_draw_boost_calib,131,KNN,0.5619047619047619,0.05553287518900288,0.4203586718292601,0.9406297700567882,5,"{""calibrar"": true, ""class_weight_draw_boost"": 2.0}",True
2026-05-14 08:19:48,v5_k15,131,Random Forest,0.6761904761904762,0.10605265453009564,0.6084828232196653,0.852015023396332,5,"{""k"": 15}",True
2026-05-14 08:19:48,v5_k15,131,Gradient Boosting,0.6476190476190476,0.07737179432986627,0.5622851090370271,1.7346783360703217,5,"{""k"": 15}",True
2026-05-14 08:19:48,v5_k15,131,Logistic Regression,0.6952380952380952,0.10257456775494292,0.6617029267029266,0.6931548014620198,5,"{""k"": 15}",True
2026-05-14 08:19:48,v5_k15,131,SVM,0.6285714285714287,0.11428571428571428,0.5922275981099511,0.7699955104145435,5,"{""k"": 15}",True
2026-05-14 08:19:48,v5_k15,131,XGBoost,0.6476190476190475,0.0645936188869073,0.5322571580466318,0.9958757267608668,5,"{""k"": 15}",True
2026-05-14 08:19:48,v5_k15,131,KNN,0.619047619047619,0.06734350297014738,0.561295247331053,2.4104857638700787,5,"{""k"": 15}",True
2026-05-14 08:19:55,v6_k40,131,Random Forest,0.6571428571428571,0.09233675918888246,0.5625727753498652,0.8893105230641648,5,"{""k"": 40}",True
2026-05-14 08:19:55,v6_k40,131,Gradient Boosting,0.6380952380952382,0.0773717943298663,0.5760583860583861,1.6954862160091735,5,"{""k"": 40}",True
2026-05-14 08:19:55,v6_k40,131,Logistic Regression,0.6476190476190476,0.04856209060564558,0.5804316495338167,0.8246436699279878,5,"{""k"": 40}",True
2026-05-14 08:19:55,v6_k40,131,SVM,0.5714285714285714,0.05216405309573012,0.5222490569858991,0.865981015425621,5,"{""k"": 40}",True
2026-05-14 08:19:55,v6_k40,131,XGBoost,0.6476190476190476,0.08832017614757814,0.533749677731371,0.993843889458985,5,"{""k"": 40}",True
2026-05-14 08:19:55,v6_k40,131,KNN,0.5904761904761904,0.06459361888690732,0.4962673558325732,4.439277546309379,5,"{""k"": 40}",True
2026-05-14 08:20:05,v7_k15_calib,131,Random Forest,0.6857142857142857,0.0380952380952381,0.575810405674452,1.845296580375456,5,"{""k"": 15, ""calibrar"": true}",True
